gate,gate_status,smiles,heavy_atoms,naive_rotatable_bonds,naive_msbp_density,primitive_period_heavy_atoms,periodic_rotatable_bonds_per_period,periodic_msbp_density,representation_class,canonical_period,notes
step13_carbon_supercell,PASS,*CC*,2,1,-0.5,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
step13_carbon_supercell,PASS,*CCCC*,4,3,-0.75,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
step13_carbon_supercell,PASS,*CCCCCC*,6,5,-0.8333333333333334,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
orientation_reversal,PASS,*CO*,2,1,-0.5,2,1,-0.5,*CO*,CO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
orientation_reversal,PASS,*OC*,2,1,-0.5,2,1,-0.5,*CO*,CO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
cut_point_relocation,PASS,*CCO*,3,2,-0.6666666666666666,3,2,-0.6666666666666666,*CCO*,CCO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
cut_point_relocation,PASS,*COC*,3,2,-0.6666666666666666,3,2,-0.6666666666666666,*CCO*,CCO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
cut_point_relocation,PASS,*OCC*,3,2,-0.6666666666666666,3,2,-0.6666666666666666,*CCO*,CCO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
equivalent_simple_spelling,PASS,*CC*,2,1,-0.5,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
equivalent_simple_spelling,PASS,*C-C*,2,1,-0.5,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
equivalent_simple_spelling,PASS,*[C][C]*,2,1,-0.5,2,1,-0.5,*CC*,CC,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
noncarbon_supercell,PASS,*CO*,2,1,-0.5,2,1,-0.5,*CO*,CO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
noncarbon_supercell,PASS,*COCO*,4,3,-0.75,2,1,-0.5,*CO*,CO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
noncarbon_supercell,PASS,*COCOCO*,6,5,-0.8333333333333334,2,1,-0.5,*CO*,CO,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
simple_copolymer_expansion,PASS,*CN*,2,1,-0.5,2,1,-0.5,*CN*,CN,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
simple_copolymer_expansion,PASS,*CNCN*,4,3,-0.75,2,1,-0.5,*CN*,CN,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
simple_copolymer_expansion,PASS,*CNCNCN*,6,5,-0.8333333333333334,2,1,-0.5,*CN*,CN,"advanced prototype periodic two-terminal quotient; passes simple supercell, reversal, cut-point, spelling, and copolymer expansion gates; not a full polymer graph canonicalizer"
