polymer_class,n_rows,n_supported,n_numeric_tg_supported,support_fraction,spearman_rho_supported
Polyimides,1765,1765,1765,1.0,-0.06342936321051464
Polyoxides,1748,1748,1748,1.0,-0.44968364116645915
Polyesters,660,660,660,1.0,-0.31819496248947665
Polyacrylics,617,617,617,1.0,-0.02969364926171914
Polyamides,486,486,486,1.0,-0.5331812705254017
Polyimines,265,265,265,1.0,-0.6135668949822297
Polyvinyls,254,254,254,1.0,0.09393572844593402
Polystyrenes,241,241,241,1.0,0.13317225565681673
Polysiloxanes,238,238,238,1.0,-0.36071299802703055
Polysulfides,216,216,216,1.0,-0.4039190723518608
Other class,172,172,172,1.0,-0.03719684117249394
Polycarbonates,160,160,160,1.0,-0.3643614621433747
Polyurethanes,123,123,123,1.0,-0.6107615580740263
Polyphosphazenes,107,107,107,1.0,-0.21812748304723628
Polyphenylenes,104,104,104,1.0,0.024178563318112627
Polyolefins,55,55,55,1.0,0.13715853329963723
Polydienes,41,41,41,1.0,0.16793989518014302
Polyhalo-olefins,40,40,40,1.0,-0.19850477983274364
Polyureas,39,39,39,1.0,-0.3506035242228763
Polyanhydrides,28,28,28,1.0,0.0982673850127016
Polyketones,7,7,7,1.0,-0.7748062179181807
Polyethers,1,1,1,1.0,
