left_out_polymer_class,n_rows_remaining,overall_spearman_rho,within_class_median_residual_spearman_rho
Other class,7195,-0.5288305674912692,-0.27202041919233627
Polyacrylics,6750,-0.5246092568457766,-0.2949905898928531
Polyamides,6881,-0.5372890670673743,-0.24612336045724315
Polyanhydrides,7339,-0.5331465935448148,-0.27077599816589715
Polycarbonates,7207,-0.5332818226455597,-0.26806229529991904
Polydienes,7326,-0.530122863541351,-0.27106417810375705
Polyesters,6707,-0.5466141232175415,-0.2653917754080347
Polyethers,7366,-0.5313722107221555,-0.26948662296201326
Polyhalo-olefins,7327,-0.5296574089497518,-0.2708069814548366
Polyimides,5602,-0.42380676218745855,-0.30348074368093747
Polyimines,7102,-0.5326187395628158,-0.24912685597011164
Polyketones,7360,-0.5314929135739178,-0.268731717326823
Polyolefins,7312,-0.5291713598376288,-0.27089457193359245
Polyoxides,5619,-0.5457083727452043,-0.2110743159262185
Polyphenylenes,7263,-0.5383832516655682,-0.27568430158540114
Polyphosphazenes,7260,-0.5326927449664994,-0.2704558870388178
Polysiloxanes,7129,-0.5320596457992832,-0.2679697345562462
Polystyrenes,7126,-0.5341528892437251,-0.2867270344651153
Polysulfides,7151,-0.5325097339107773,-0.26530866174989065
Polyureas,7328,-0.531646205363784,-0.26849366465130525
Polyurethanes,7244,-0.5307712250396728,-0.26584282170934115
Polyvinyls,7113,-0.53083113642883,-0.28518411319264275
